# nodes,# links,no graph,# ant types,% success/10tests,time(s)
10,3,0,2,100.0,0.53
10,3,0,3,100.0,0.83
10,3,0,4,10.0,1.16
20,3,0,2,80.0,0.95
20,3,0,3,50.0,1.64
20,3,0,4,40.0,2.32
