# nodes,no graph,no pair,# ant types,% success/100tests,% partial success,time(s),(mincut,src,dst
20,0,2,4,5.0,61.0,24.21,3.0,17,1
20,0,3,2,8.0,48.0,8.9,2.0,18,1
20,0,3,3,23.0,36.0,15.17,2.0,18,1
20,0,3,4,17.0,55.0,24.1,2.0,18,1
20,0,4,2,91.0,0.0,10.1,2.0,14,0
20,0,4,3,93.0,7.0,17.2,2.0,14,0
20,0,4,4,60.0,37.0,26.72,2.0,14,0
20,1,0,2,100.0,0.0,5.57,2.0,3,14
20,1,0,3,100.0,0.0,11.7,2.0,3,14
20,1,0,4,100.0,0.0,18.84,2.0,3,14
20,1,1,2,62.0,19.0,7.59,2.0,15,8
20,1,1,3,66.0,28.0,13.75,2.0,15,8
20,1,1,4,60.0,34.0,22.06,2.0,15,8
20,1,2,2,100.0,0.0,5.47,2.0,18,10
20,1,2,3,100.0,0.0,11.0,2.0,18,10
20,1,2,4,100.0,0.0,18.96,2.0,18,10
20,1,3,2,21.0,69.0,7.77,3.0,10,2
20,1,3,3,16.0,75.0,14.4,3.0,10,2
20,1,3,4,14.0,77.0,23.23,3.0,10,2
20,1,4,2,0.0,93.0,7.87,3.0,10,12
20,1,4,3,0.0,94.0,14.49,3.0,10,12
20,1,4,4,41.0,55.0,22.9,3.0,10,12
20,2,0,2,69.0,0.0,8.47,2.0,11,13
20,2,0,3,94.0,6.0,15.3,2.0,11,13
20,2,0,4,76.0,21.0,25.09,2.0,11,13
20,2,1,2,42.0,58.0,4.38,2.0,13,15
20,2,1,3,100.0,0.0,8.8,2.0,13,15
20,2,1,4,100.0,0.0,15.68,2.0,13,15
20,2,2,2,66.0,0.0,9.39,2.0,13,18
20,2,2,3,75.0,20.0,17.2,2.0,13,18
20,2,2,4,70.0,25.0,26.21,2.0,13,18
20,2,3,2,94.0,0.0,7.83,2.0,16,6
20,2,3,3,80.0,17.0,14.05,2.0,16,6
20,2,3,4,87.0,13.0,23.58,2.0,16,6
20,2,4,2,100.0,0.0,8.41,2.0,4,0
20,2,4,3,97.0,3.0,15.17,2.0,4,0
20,2,4,4,90.0,9.0,25.62,2.0,4,0
25,0,0,2,63.0,37.0,9.13,2.0,14,13
25,0,0,3,100.0,0.0,16.62,2.0,14,13
25,0,0,4,100.0,0.0,27.47,2.0,14,13
25,0,1,2,99.0,0.0,12.3,2.0,4,21
25,0,1,3,64.0,35.0,22.67,2.0,4,21
25,0,1,4,52.0,47.0,38.43,2.0,4,21
25,0,2,2,2.0,45.0,9.89,2.0,23,11
25,0,2,3,6.0,48.0,15.65,2.0,23,11
25,0,2,4,38.0,11.0,27.73,2.0,23,11
25,0,3,2,100.0,0.0,7.35,2.0,19,12
25,0,3,3,100.0,0.0,14.77,2.0,19,12
25,0,3,4,100.0,0.0,25.14,2.0,19,12
25,0,4,2,28.0,58.0,8.71,2.0,6,12
25,0,4,3,58.0,23.0,16.66,2.0,6,12
25,0,4,4,35.0,39.0,28.36,2.0,6,12
25,1,0,2,52.0,0.0,13.46,2.0,15,12
25,1,0,3,83.0,14.0,24.03,2.0,15,12
25,1,0,4,71.0,16.0,38.41,2.0,15,12
