nb_types,q_0,optimal_length,perc_disjoint,perc_opt,varcoef
2,variation_of_q_0,5.0,100,1.0,0.0
3,variation_of_q_0,5.0,100,1.0,0.0
4,variation_of_q_0,5.0,99,0.7878787878787878,15.150159954882406
