nb_types,percentage_ants_bridge1,method_score
2,42.5,0
3,30.333333333333332,0
4,24.75,0
5,20.6,0
6,18.666666666666668,0
2,20.0,1
3,33.333333333333336,1
4,48.25,1
5,44.0,1
6,47.5,1
